class_code,generation,group_number,group_master,on_offline,group_leave,leave_point,avg_point_m1,avg_point_m2,avg_point_m1m2,delta_m2_m1,avg_point_all,months_observed,group_size,age_sd,age_range,job_domain_cnt,major_cnt,has_leader
6,9,4,False,온라인,False,해당없음,1.0,0.9,0.95,-0.1,0.575,4.0,5,0.894427191,2.0,2,4,True
4,9,12,False,오프라인,False,해당없음,0.9,-0.2,0.35,-1.1,-0.075,4.0,4,0.5773502692,1.0,1,4,True
4,11,10,True,온라인,False,해당없음,3.4,-0.6,1.4,-4.0,0.7333333333,3.0,6,1.264911064,3.0,1,6,True
8,8,8,False,오프라인,False,해당없음,1.0,2.9,1.95,1.9,1.1,4.0,6,1.169045194,3.0,1,5,True
2,10,3,False,오프라인,False,해당없음,1.2,1.4,1.3,0.2,0.4,4.0,5,1.870828693,4.0,1,4,True
4,8,4,False,오프라인,False,해당없음,1.2,1.67,1.435,0.47,1.155,4.0,6,0.8164965809,2.0,1,1,True
3,11,2,False,오프라인,False,해당없음,3.2,6.0,4.6,2.8,2.866666667,3.0,3,0.5773502692,1.0,1,3,True
13,11,5,False,온라인,True,중간 휴회기간 이후,0.0,6.0,3.0,6.0,1.8,3.0,4,2.645751311,6.0,2,4,True
1,8,11,False,온라인,False,해당없음,1.2,2.16,1.68,0.96,1.09,4.0,5,3.768288736,9.0,1,4,True
3,10,15,True,오프라인,False,해당없음,1.0,1.0,1.0,0.0,1.05,4.0,4,0.0,0.0,1,3,True
4,10,8,False,온오프라인,False,해당없음,1.0,-0.5,0.25,-1.5,-0.125,4.0,5,1.290994449,3.0,1,4,True
4,9,4,True,오프라인,False,해당없음,1.0,1.1,1.05,0.1,0.4,4.0,4,1.527525232,3.0,1,2,True
15,11,1,False,온라인,True,중간 휴회기간 이후,3.0,4.0,3.5,1.0,3.066666667,3.0,3,1.0,2.0,2,3,True
3,10,11,False,오프라인,False,해당없음,1.4,1.4,1.4,0.0,1.4,4.0,4,1.825741858,4.0,2,3,True
4,10,8,False,온오프라인,False,해당없음,1.0,-0.5,0.25,-1.5,-0.125,4.0,5,1.290994449,3.0,1,4,True
6,11,7,False,온라인,False,해당없음,3.4,-0.6,1.4,-4.0,0.7333333333,3.0,5,1.788854382,4.0,1,5,True
10,10,4,False,온라인,False,해당없음,-0.5,-0.5,-0.5,0.0,-0.5,3.0,4,2.160246899,5.0,1,4,True
4,9,4,False,오프라인,False,해당없음,1.0,1.1,1.05,0.1,0.4,4.0,4,1.527525232,3.0,1,2,True
8,8,1,False,오프라인,False,해당없음,0.9,2.03,1.465,1.13,1.0325,4.0,6,1.414213562,4.0,1,4,True
1,10,1,False,오프라인,False,해당없음,2.0,1.0,1.5,-1.0,1.45,4.0,4,2.380476143,5.0,1,4,True
6,8,12,False,온라인,True,중간 휴회기간 이후,0.8,0.0,0.4,-0.8,0.2,4.0,5,1.258305739,3.0,1,3,False
11,10,3,False,오프라인,False,해당없음,2.2,2.6,2.4,0.4,2.433333333,3.0,5,1.414213562,3.0,1,4,True
4,8,13,False,온라인,False,해당없음,1.4,1.75,1.575,0.35,1.2175,4.0,6,1.632993162,4.0,1,4,True
13,9,2,False,오프라인,True,중간 휴회기간 이후,,,,,,,4,1.732050808,4.0,1,3,True
5,8,3,False,온라인,False,해당없음,1.0,2.0,1.5,1.0,0.75,4.0,3,0.5773502692,1.0,1,2,True
2,10,11,False,오프라인,True,해당없음,1.2,1.2,1.2,0.0,0.825,4.0,5,4.711687596,12.0,2,4,True
12,10,1,True,오프라인,False,해당없음,,,,,,,4,,,0,0,True
2,9,8,False,오프라인,False,해당없음,2.8,4.0,3.4,1.2,1.45,4.0,5,1.707825128,4.0,1,3,True
14,11,2,False,오프라인,False,해당없음,3.4,-0.6,1.4,-4.0,0.7333333333,3.0,4,2.380476143,5.0,2,4,True
4,10,5,False,온라인,False,해당없음,1.0,1.6,1.3,0.6,0.85,4.0,5,1.303840481,3.0,1,5,True
8,8,5,False,온라인,False,해당없음,0.32,2.24,1.28,1.92,0.64,4.0,5,1.483239697,4.0,1,2,True
5,9,5,False,오프라인,True,중간 휴회기간 이후,,,,,,,3,2.081665999,4.0,1,3,True
4,9,14,False,오프라인,False,해당없음,1.4,1.2,1.3,-0.2,1.425,4.0,4,1.892969449,4.0,1,2,True
2,8,7,False,오프라인,False,해당없음,1.6,3.0,2.3,1.4,2.35,4.0,4,0.5773502692,1.0,1,2,True
1,8,1,False,오프라인,False,해당없음,1.56,1.96,1.76,0.4,2.075,4.0,5,1.095445115,2.0,1,3,True
6,11,6,True,온라인,False,해당없음,2.7,4.4,3.55,1.7,3.366666667,3.0,5,0.8366600265,2.0,1,4,True
12,10,1,False,오프라인,False,해당없음,,,,,,,4,,,0,0,True
2,8,3,False,온라인,True,중간 휴회기간 이후,0.8,0.0,0.4,-0.8,0.2,4.0,5,1.923538406,5.0,1,4,True
4,8,5,False,오프라인,False,해당없음,0.83,3.2,2.015,2.37,1.519,4.0,6,1.505545305,4.0,1,3,True
5,8,4,False,오프라인,True,중간 휴회기간 이후,1.0,1.66,1.33,0.66,1.03375,4.0,4,1.892969449,4.0,1,3,True
3,10,15,False,오프라인,False,해당없음,1.0,1.0,1.0,0.0,1.05,4.0,4,0.0,0.0,1,3,True
4,8,19,True,온라인,False,해당없음,1.7,1.8,1.75,0.1,0.9875,4.0,5,0.8366600265,2.0,1,4,True
4,8,14,True,오프라인,False,해당없음,0.925,0.5,0.7125,-0.425,0.35625,4.0,4,2.061552813,5.0,1,3,True
5,8,3,False,온라인,False,해당없음,1.0,2.0,1.5,1.0,0.75,4.0,3,0.5773502692,1.0,1,2,True
6,8,1,True,오프라인,False,해당없음,1.0,2.0,1.5,1.0,1.40625,4.0,4,1.0,2.0,1,2,True
2,10,2,False,오프라인,False,해당없음,1.6,1.6,1.6,0.0,0.55,4.0,6,1.224744871,3.0,1,6,True
5,8,1,False,오프라인,False,해당없음,1.44,2.28,1.86,0.84,1.485,4.0,5,1.140175425,3.0,1,3,True
3,10,4,False,온라인,False,해당없음,1.0,1.0,1.0,0.0,0.25,4.0,4,1.290994449,3.0,1,4,True
5,9,5,False,오프라인,False,해당없음,,,,,,,3,2.081665999,4.0,1,3,True
2,8,2,False,해당없음,True,중간 휴회기간 이전,0.83,0.0,0.415,-0.83,0.2075,4.0,6,1.032795559,3.0,1,4,False
1,10,3,False,온라인,False,해당없음,-0.5,-0.5,-0.5,0.0,-0.5,4.0,3,2.645751311,5.0,1,3,True
7,9,2,False,오프라인,True,중간 휴회기간 이후,1.1,1.4,1.25,0.3,0.6125,4.0,4,1.732050808,3.0,1,3,True
2,11,6,False,오프라인,False,해당없음,3.6,4.8,4.2,1.2,2.6,3.0,5,1.303840481,3.0,1,5,True
4,8,18,False,온라인,False,해당없음,1.17,1.6,1.385,0.43,0.8175,4.0,6,0.8164965809,2.0,1,5,True
4,11,8,False,오프라인,False,해당없음,4.2,4.0,4.1,-0.2,3.4,3.0,6,1.673320053,5.0,2,6,True
6,8,14,True,온라인,False,해당없음,2.116,2.4,2.258,0.284,1.629,4.0,6,1.516575089,4.0,1,3,True
6,9,7,False,온라인,True,중간 휴회기간 이후,,,,,,,4,1.5,3.0,1,3,True
3,10,3,False,온라인,False,해당없음,1.0,1.6,1.3,0.6,0.775,4.0,4,1.414213562,3.0,1,4,True
7,10,3,False,오프라인,False,해당없음,1.2,1.0,1.1,-0.2,1.025,4.0,5,2.387467277,6.0,1,4,True
4,8,11,False,온라인,False,해당없음,0.9,2.4,1.65,1.5,1.45,4.0,4,0.5773502692,1.0,1,3,True
9,10,3,True,오프라인,False,해당없음,1.2,-0.5,0.35,-1.7,0.06666666667,3.0,5,2.081665999,4.0,1,3,True
8,9,3,False,오프라인,True,기말 휴회기간 이후,1.4,1.8,1.6,0.4,1.825,4.0,3,0.5773502692,1.0,1,2,True
